local_episodes,trial,epoch,average_device_train_accuracy,average_device_val_accuracy
1,0,0,0.4,0.5575000000000001
1,0,1,0.42500000000000004,0.4575
1,0,2,0.625,0.5675
1,0,3,0.575,0.5900000000000001
1,0,4,0.575,0.565
1,0,5,0.575,0.5175000000000001
1,0,6,0.5,0.56
1,0,7,0.55,0.5925
1,0,8,0.6,0.6025
1,0,9,0.5,0.5275000000000001
1,0,10,0.6,0.6475
1,0,11,0.575,0.565
1,0,12,0.625,0.665
1,0,13,0.475,0.6075
1,0,14,0.575,0.635
1,0,15,0.55,0.6075
1,0,16,0.625,0.6425
1,0,17,0.575,0.61
1,0,18,0.575,0.645
1,0,19,0.625,0.61
1,0,20,0.75,0.7024999999999999
1,0,21,0.725,0.73
1,0,22,0.7749999999999999,0.685
1,0,23,0.725,0.6200000000000001
1,0,24,0.7,0.715
1,0,25,0.775,0.7475
1,0,26,0.8,0.6799999999999999
1,0,27,0.675,0.6525000000000001
1,0,28,0.6000000000000001,0.6375
1,0,29,0.725,0.7475
1,0,30,0.675,0.71
1,0,31,0.7749999999999999,0.7075
1,0,32,0.8,0.685
1,0,33,0.9,0.75
1,0,34,0.7,0.7575000000000001
1,0,35,0.825,0.635
1,0,36,0.6,0.5700000000000001
1,0,37,0.625,0.7375
1,0,38,0.575,0.53
1,0,39,0.425,0.5925
1,0,40,0.42500000000000004,0.5700000000000001
1,0,41,0.525,0.665
1,0,42,0.75,0.755
1,0,43,0.85,0.7450000000000001
1,0,44,0.65,0.6875
1,0,45,0.7,0.7150000000000001
1,0,46,0.75,0.785
1,0,47,0.7,0.815
1,0,48,0.8,0.6525000000000001
1,0,49,0.75,0.7124999999999999
1,0,50,0.8,0.7625
1,0,51,0.75,0.73
1,0,52,0.65,0.77
1,0,53,0.8,0.7425
1,0,54,0.75,0.775
1,0,55,0.75,0.765
1,0,56,0.8,0.73
1,0,57,0.725,0.7625
1,0,58,0.675,0.6425
1,0,59,0.675,0.73
1,0,60,0.7749999999999999,0.7925
1,0,61,0.8,0.755
1,0,62,0.7749999999999999,0.7949999999999999
1,0,63,0.85,0.8125
1,0,64,0.75,0.7175
1,0,65,0.7250000000000001,0.655
1,0,66,0.7250000000000001,0.72
1,0,67,0.525,0.6174999999999999
1,0,68,0.575,0.6825
1,0,69,0.675,0.6875
1,0,70,0.7,0.72
1,0,71,0.675,0.725
1,0,72,0.675,0.7024999999999999
1,0,73,0.6499999999999999,0.6475
1,0,74,0.575,0.6575
1,0,75,0.625,0.7025
1,0,76,0.7250000000000001,0.7075
1,0,77,0.725,0.8175
1,0,78,0.875,0.7625
1,0,79,0.8,0.6975
1,0,80,0.7250000000000001,0.825
1,0,81,0.85,0.675
1,0,82,0.8,0.74
1,0,83,0.775,0.8274999999999999
1,0,84,0.8,0.765
1,0,85,0.7,0.7450000000000001
1,0,86,0.8,0.7675000000000001
1,0,87,0.7749999999999999,0.75
1,0,88,0.825,0.815
1,0,89,0.825,0.7975
1,0,90,0.8,0.76
1,0,91,0.825,0.7975
1,0,92,0.75,0.6950000000000001
1,0,93,0.775,0.7324999999999999
1,0,94,0.675,0.8049999999999999
1,0,95,0.8,0.75
1,0,96,0.775,0.745
1,0,97,0.7749999999999999,0.7925
1,0,98,0.6499999999999999,0.7150000000000001
1,0,99,0.675,0.6425000000000001
1,0,100,0.6000000000000001,0.695
1,0,101,0.75,0.79
1,0,102,0.825,0.7275
1,0,103,0.8,0.715
1,0,104,0.7,0.8075
1,0,105,0.875,0.8175
1,0,106,0.8,0.8274999999999999
1,0,107,0.65,0.69
1,0,108,0.825,0.8225
1,0,109,0.85,0.78
1,0,110,0.775,0.7025
1,0,111,0.7,0.675
1,0,112,0.65,0.6950000000000001
1,0,113,0.725,0.75
1,0,114,0.675,0.655
1,0,115,0.575,0.6025
1,0,116,0.6,0.73
1,0,117,0.7749999999999999,0.7475
1,0,118,0.825,0.7649999999999999
1,0,119,0.775,0.8025
1,0,120,0.8,0.8425
1,0,121,0.7,0.7325
1,0,122,0.7,0.7575000000000001
1,0,123,0.6000000000000001,0.645
1,0,124,0.55,0.6525000000000001
1,0,125,0.55,0.6699999999999999
1,0,126,0.7,0.7875
1,0,127,0.725,0.7975
1,0,128,0.95,0.7949999999999999
1,0,129,0.725,0.6475
1,0,130,0.42500000000000004,0.5700000000000001
1,0,131,0.6499999999999999,0.83
1,0,132,0.675,0.7275
1,0,133,0.7,0.7275
1,0,134,0.8,0.7675
1,0,135,0.7,0.7425
1,0,136,0.7749999999999999,0.7375
1,0,137,0.8500000000000001,0.81
1,0,138,0.775,0.785
1,0,139,0.8500000000000001,0.8275
1,0,140,0.8,0.8225
1,0,141,0.8,0.8275
1,0,142,0.675,0.73
1,0,143,0.75,0.7775000000000001
1,0,144,0.75,0.7324999999999999
1,0,145,0.6499999999999999,0.7275
1,0,146,0.675,0.76
1,0,147,0.825,0.84
1,0,148,0.875,0.8274999999999999
1,0,149,0.8,0.7175
1,0,150,0.6000000000000001,0.65
1,0,151,0.725,0.7325
1,0,152,0.6499999999999999,0.8049999999999999
1,0,153,0.725,0.8125
1,0,154,0.7,0.8075
1,0,155,0.875,0.83
1,0,156,0.8,0.77
1,0,157,0.7749999999999999,0.76
1,0,158,0.725,0.745
1,0,159,0.7,0.7125
1,0,160,0.625,0.6825
1,0,161,0.6,0.7125
1,0,162,0.775,0.8300000000000001
1,0,163,0.825,0.8574999999999999
1,0,164,0.775,0.845
1,0,165,0.85,0.795
1,0,166,0.825,0.7925
1,0,167,0.65,0.7325
1,0,168,0.7,0.7725
1,0,169,0.775,0.845
1,0,170,0.7749999999999999,0.8025
1,0,171,0.825,0.8200000000000001
1,0,172,0.8,0.8374999999999999
1,0,173,0.675,0.7424999999999999
1,0,174,0.675,0.655
1,0,175,0.6,0.66
1,0,176,0.6,0.715
1,0,177,0.725,0.7675
1,0,178,0.8,0.74
1,0,179,0.725,0.7725
1,0,180,0.7749999999999999,0.77
1,0,181,0.7,0.7575000000000001
1,0,182,0.65,0.7175
1,0,183,0.325,0.47250000000000003
1,0,184,0.4,0.7649999999999999
1,0,185,0.8,0.8374999999999999
1,0,186,0.825,0.8300000000000001
1,0,187,0.825,0.82
1,0,188,0.825,0.8374999999999999
1,0,189,0.8,0.8574999999999999
1,0,190,0.8,0.7825
1,0,191,0.825,0.85
1,0,192,0.8500000000000001,0.8525
1,0,193,0.6499999999999999,0.8275
1,0,194,0.875,0.78
1,0,195,0.8,0.825
1,0,196,0.8,0.8200000000000001
1,0,197,0.8500000000000001,0.8025
1,0,198,0.8,0.8374999999999999
1,0,199,0.875,0.7849999999999999
1,1,0,0.42500000000000004,0.5075000000000001
1,1,1,0.45,0.4475
1,1,2,0.625,0.5125
1,1,3,0.55,0.45
1,1,4,0.45,0.55
1,1,5,0.525,0.49
1,1,6,0.55,0.555
1,1,7,0.6,0.545
1,1,8,0.525,0.5575000000000001
1,1,9,0.5,0.48750000000000004
1,1,10,0.525,0.6
1,1,11,0.55,0.5025000000000001
1,1,12,0.47500000000000003,0.6074999999999999
1,1,13,0.525,0.5700000000000001
1,1,14,0.55,0.6325000000000001
1,1,15,0.525,0.5700000000000001
1,1,16,0.55,0.665
1,1,17,0.55,0.595
1,1,18,0.525,0.6425
1,1,19,0.6,0.6225
1,1,20,0.75,0.6625
1,1,21,0.725,0.7324999999999999
1,1,22,0.7,0.7224999999999999
1,1,23,0.775,0.6925
1,1,24,0.8,0.755
1,1,25,0.625,0.6299999999999999
1,1,26,0.8,0.7175
1,1,27,0.8,0.6975
1,1,28,0.775,0.6275
1,1,29,0.8,0.75
1,1,30,0.7250000000000001,0.675
1,1,31,0.775,0.6325000000000001
1,1,32,0.625,0.615
1,1,33,0.6499999999999999,0.62
1,1,34,0.7,0.7125
1,1,35,0.825,0.7325
1,1,36,0.7749999999999999,0.6825
1,1,37,0.825,0.6625000000000001
1,1,38,0.825,0.7725
1,1,39,0.8500000000000001,0.665
1,1,40,0.6,0.5625
1,1,41,0.45,0.5775
1,1,42,0.7,0.7425
1,1,43,0.775,0.7425
1,1,44,0.725,0.6699999999999999
1,1,45,0.775,0.7775000000000001
1,1,46,0.75,0.725
1,1,47,0.775,0.8
1,1,48,0.825,0.6799999999999999
1,1,49,0.7250000000000001,0.6950000000000001
1,1,50,0.725,0.73
1,1,51,0.75,0.7625
1,1,52,0.675,0.7875000000000001
1,1,53,0.8,0.7825
1,1,54,0.825,0.6875
1,1,55,0.7,0.6625
1,1,56,0.575,0.545
1,1,57,0.475,0.57
1,1,58,0.475,0.565
1,1,59,0.6,0.7424999999999999
1,1,60,0.725,0.72
1,1,61,0.7,0.77
1,1,62,0.8,0.8025
1,1,63,0.85,0.8175
1,1,64,0.6,0.825
1,1,65,0.775,0.7150000000000001
1,1,66,0.675,0.7375
1,1,67,0.55,0.6074999999999999
1,1,68,0.6000000000000001,0.7475
1,1,69,0.675,0.6925
1,1,70,0.65,0.6775
1,1,71,0.7250000000000001,0.735
1,1,72,0.7749999999999999,0.7825
1,1,73,0.7749999999999999,0.7475
1,1,74,0.7250000000000001,0.7525
1,1,75,0.725,0.6699999999999999
1,1,76,0.825,0.745
1,1,77,0.825,0.805
1,1,78,0.8,0.7175
1,1,79,0.8,0.7324999999999999
1,1,80,0.7,0.7875000000000001
1,1,81,0.875,0.7725
1,1,82,0.75,0.7424999999999999
1,1,83,0.7250000000000001,0.69
1,1,84,0.6499999999999999,0.6599999999999999
1,1,85,0.675,0.6875
1,1,86,0.725,0.73
1,1,87,0.7250000000000001,0.655
1,1,88,0.8,0.815
1,1,89,0.65,0.63
1,1,90,0.5,0.5800000000000001
1,1,91,0.7,0.775
1,1,92,0.7,0.6699999999999999
1,1,93,0.8500000000000001,0.8075
1,1,94,0.725,0.73
1,1,95,0.875,0.81
1,1,96,0.775,0.805
1,1,97,0.75,0.7424999999999999
1,1,98,0.75,0.725
1,1,99,0.7,0.6699999999999999
1,1,100,0.625,0.6575
1,1,101,0.575,0.655
1,1,102,0.5,0.5800000000000001
1,1,103,0.6,0.7175
1,1,104,0.6499999999999999,0.685
1,1,105,0.75,0.8
1,1,106,0.7749999999999999,0.79
1,1,107,0.775,0.7825
1,1,108,0.775,0.7424999999999999
1,1,109,0.725,0.755
1,1,110,0.8,0.7625
1,1,111,0.875,0.81
1,1,112,0.725,0.7525
1,1,113,0.7250000000000001,0.6950000000000001
1,1,114,0.7,0.7375
1,1,115,0.7749999999999999,0.8225
1,1,116,0.85,0.7949999999999999
1,1,117,0.7,0.675
1,1,118,0.75,0.7075
1,1,119,0.8,0.79
1,1,120,0.725,0.8125
1,1,121,0.7,0.7475
1,1,122,0.7749999999999999,0.7925
1,1,123,0.625,0.6275
1,1,124,0.625,0.6599999999999999
1,1,125,0.575,0.6125
1,1,126,0.65,0.755
1,1,127,0.75,0.7625
1,1,128,0.925,0.81
1,1,129,0.725,0.725
1,1,130,0.525,0.5775
1,1,131,0.725,0.8175
1,1,132,0.7,0.7725
1,1,133,0.75,0.7024999999999999
1,1,134,0.85,0.75
1,1,135,0.6499999999999999,0.7775
1,1,136,0.75,0.7125
1,1,137,0.8,0.83
1,1,138,0.725,0.6875
1,1,139,0.8,0.7949999999999999
1,1,140,0.7,0.6325000000000001
1,1,141,0.65,0.77
1,1,142,0.575,0.5725
1,1,143,0.6000000000000001,0.7575000000000001
1,1,144,0.65,0.625
1,1,145,0.525,0.665
1,1,146,0.6000000000000001,0.7125
1,1,147,0.8,0.8425
1,1,148,0.825,0.8275
1,1,149,0.75,0.7024999999999999
1,1,150,0.6,0.69
1,1,151,0.725,0.765
1,1,152,0.625,0.77
1,1,153,0.7,0.7975000000000001
1,1,154,0.675,0.7725
1,1,155,0.85,0.825
1,1,156,0.825,0.7975
1,1,157,0.775,0.85
1,1,158,0.8500000000000001,0.8025
1,1,159,0.8500000000000001,0.78
1,1,160,0.675,0.735
1,1,161,0.7,0.7725
1,1,162,0.825,0.8049999999999999
1,1,163,0.875,0.8025
1,1,164,0.8,0.8374999999999999
1,1,165,0.825,0.7749999999999999
1,1,166,0.825,0.8425
1,1,167,0.8,0.835
1,1,168,0.8,0.7725
1,1,169,0.725,0.7875
1,1,170,0.7,0.755
1,1,171,0.775,0.845
1,1,172,0.775,0.815
1,1,173,0.675,0.6924999999999999
1,1,174,0.7250000000000001,0.6825
1,1,175,0.6000000000000001,0.6399999999999999
1,1,176,0.65,0.7224999999999999
1,1,177,0.75,0.8075
1,1,178,0.8500000000000001,0.7875
1,1,179,0.8,0.81
1,1,180,0.85,0.7925
1,1,181,0.75,0.7325
1,1,182,0.65,0.7175
1,1,183,0.42500000000000004,0.47
1,1,184,0.4,0.75
